,Cuisine,ID,Ingredients,veg,vegan,dessert,spicy,drink,alcohol
0,brazilian,623,"['condensed milk', 'butter', 'cocoa powder']",1,0,1,0,0,0
1,brazilian,42981,"['milk', 'sugar', 'condensed milk', 'eggs', 'vanilla extract', 'water']",1,0,1,0,0,0
2,brazilian,21131,"[' cilantro', ' salt', ' bell pepper', 'cumin', ' rice', ' black pepper', 'salt', ' lime', 'tomato', 'olive oil', 'garlic', 'coconut milk', 'salmon', 'bell pepper', 'sweet paprika', 'onions']",1,0,0,0,0,0
3,brazilian,21228,"['agave nectar', 'berries', 'yogurt']",1,1,1,0,0,0
4,brazilian,21101,"['supersugar', 'cachaca', 'sour cherries', ' lime', 'ice']",1,1,0,0,1,1
5,brazilian,7974,"['', 'salt', 'rice']",1,1,0,0,0,0
6,brazilian,9577,"['sea bass', 'chicken broth', 'onion', 'salt', 'bay leaf', 'olive oil', 'bell pepper', 'clam juice', 'bell pepper', 'cilantro', 'black pepper', 'red pepper', 'garlic ', 'shrimp', ' tomato', 'onion', 'coconut milk', 'lime']",0,0,0,1,0,0
7,brazilian,42842,"['powdered sugar', 'heavy cream', 'corn starch', 'vanilla extract', 'egg yolks', 'cocoa powder', 'milk', 'condensed milk', 'biscuits', 'milk', 'cognac']",1,0,1,0,0,1
8,brazilian,6887,"['celery ribs', 'olive oil', 'salt', 'onions', 'tomato', 'garlic', 'black pepper', 'fish', 'pepper', 'coconut cream', 'coriander', 'brown sugar', 'lemon', 'bay leaf']",0,0,0,1,0,0
9,brazilian,32828,"['mango juice', 'ice', 'sugar', 'cachaca', 'lime']",1,1,0,0,1,1
10,british,42151,"['milk', 'salt', 'flour', 'mustard', 'butter', 'cayenne pepper', 'blue cheese', 'stilton cheese']",1,0,0,1,0,0
11,british,36964,"['eggs', 'salt', 'water', 'beef', ' flour', 'milk']",0,0,0,0,0,0
12,british,18348,"['eggs', 'vinegar', 'white pepper', 'onions', ' split peas', 'salt', ' rosemary', '']",1,0,0,0,0,0
13,british,2433,"['bacon', '  chives', 'onions', ' garlic', 'salt', 'black pepper', 'bacon', 'cabbage', 'potato', 'ham']",0,0,0,0,0,0
14,british,7633,"['chocolate', 'butter', 'dulce de leche', 'espresso', 'heavy cream', 'powdered sugar', 'peanuts', 'sugar', 'graham crackers', 'bananas', 'vanilla extract']",1,0,1,0,0,0
15,british,26456,"['black pepper', 'pastry dough', ' egg yolks', 'salt', 'stilton', 'heavy cream', ' eggs']",1,0,0,0,0,0
16,british,45446,"['white flour', 'sausages', 'salt', 'eggs', 'oil', 'milk']",0,0,0,0,0,0
17,british,32753,"[' flour', 'orange', 'eggs', 'milk', 'sugar', 'butter', 'almonds', 'sugar', 'almonds', 'egg', 'jam', 'raspberries', 'water']",1,0,1,0,0,0
18,british,21350,"[' sherry', 'raspberries', 'lemon', 'wine', 'lemon', 'sugar', 'whipping cream']",1,0,1,0,1,1
19,british,9378,"['salt', 'egg', 'milk', 'flour', 'vegetable oil']",1,0,0,0,0,0
20,cajun_creole,43599,"['chocolate syrup', 'whipping cream', 'banana bread', 'pecans', 'rum', 'brown sugar', 'bananas', 'chocolate ice cream', 'vanilla ice cream', 'coconut', 'chocolate chip cookie dough ice cream']",1,0,1,0,0,1
21,cajun_creole,30502,"[' rice', ' bell pepper', ' flour', 'celery', 'water', 'garlic', 'okra', 'sausage', ' chicken', 'bell pepper', 'onions', ' black pepper', 'salt', 'oil']",0,0,0,1,0,0
22,cajun_creole,33032,"['butter', 'sugar', 'buttermilk', 'salt', ' almonds', 'baking powder', 'vanilla extract', 'sour cream', 'coconut flakes', 'eggs', 'heavy cream', 'sugar', 'vanilla extract', 'baking soda', 'butter', 'flour']",1,0,1,0,0,0
23,cajun_creole,33993,"['mayonaise', 'crabmeat', 'dressing', 'pimentos', 'scallions', 'avocado', 'pickle', 'pepper', 'capers', 'salt', 'lemon']",0,0,0,0,0,0
24,cajun_creole,19567,"['beans', 'water', 'salt', 'black pepper', 'beef', 'rice', 'bell pepper', 'chili powder', 'onions', 'garlic', 'tomato']",0,0,0,0,0,0
25,cajun_creole,8367,"['thyme', 'garlic', 'rice', 'cilantro', 'onions', 'beans', 'butter', 'paprika', 'bell pepper', 'cayenne pepper', 'cumin']",1,0,0,0,0,0
26,cajun_creole,8329,"['celery', 'bell pepper', 'beef broth', 'onions', 'water', 'worcestershire sauce', 'garlic', 'bell pepper', 'beef', 'rice', 'black pepper', 'salt', 'parsley']",0,0,0,0,0,0
27,cajun_creole,17517,"['nutmeg', 'active  yeast', 'cinnamon', 'sour cream', 'sugar', 'lemon', 'cream cheese', 'sweetened condensed milk', ' cinnamon', ' sugar', '', 'flour', 'sugar', ' eggs', 'lemon']",1,0,1,0,0,0
28,cajun_creole,6554,"['chorizo', ' lemon', '', 'onion', ' oregano', 'bell pepper', 'olive oil', 'onion', ' salt', ' parsley', 'tomato', ' thyme', 'bay leaf ', 'bacon', 'celery', ' shrimp', 'black pepper', 'chicken broth', 'bell pepper', 'garlic', 'rice']",0,0,0,1,0,0
29,cajun_creole,34272,"[' thyme', 'onion', 'salt', 'okra', ' shrimp', ' beef broth', ' pepper sauce', 'sweet pepper', ' onion', ' bell pepper', 'spice', ' black pepper', 'garlic', ' flour', 'rice', 'water', 'cooking oil', 'crabmeat', 'celery']",0,0,0,1,0,0
30,chinese,39926,"['soy sauce', 'baby carrots', 'eggs', ' rice', 'onion', ' peas', 'coconut oil', 'sesame oil']",1,0,0,0,0,0
31,chinese,10233,"['water', 'vinegar', 'corn starch', 'pineapple', 'tomato paste', 'sugar']",1,1,1,0,0,0
32,chinese,47781,"['bell pepper', 'wonton skins', 'coriander', 'fish sauce', 'water chestnuts', 'oil', 'eggs', 'scallops', 'salt', 'pork', 'sesame oil', 'corn flour']",0,0,0,0,0,0
33,chinese,2230,"['rice wine', 'vegetarian oyster sauce', 'soybean sprouts', 'ginkgo nut', 'mushrooms', 'sugar', 'ginger', 'garlic ', 'bean threads', 'bean curd skins', 'cake', 'water', 'romaine lettuce', 'soy sauce', 'peanut oil', 'bamboo shoots']",1,0,0,0,0,0
34,chinese,31601,"['tofu', 'pork', 'shallots', 'corn starch', 'water', ' bean paste', 'rice wine']",0,0,0,1,0,1
35,chinese,24029,"['bacon', 'vegetable oil', 'bell pepper', 'chillies', 'eggs', 'water', 'garlic', 'rice', 'red chili flakes', 'lemon', 'green chilies', 'onions', 'soy sauce', 'onion', 'salt', 'bell pepper']",0,0,0,1,0,0
36,chinese,9103,"['spring roll wrappers', 'water', 'cilantro', ' red chili flakes', 'coconut milk', 'red chili flakes', ' ginger', 'onion', 'scallions', ' salt', 'jalapeno chilies', 'chicken breasts', 'garlic ', 'coconut', 'lemongrass', 'taro', 'bacon', 'canola oil']",0,0,0,1,0,0
37,chinese,36938,"['pea', 'sesame oil', ' flour', 'brown sugar', 'sesame seeds', 'ginger', 'soba noodles', 'lime', 'cilantro', 'peanut ', 'soy sauce', ' skinless chicken breasts', 'garlic', 'carrots']",0,0,0,0,0,0
38,chinese,20295,"['pork', 'spice ', ' black pepper', 'water', 'rock salt', 'sugar', 'salt']",0,0,0,0,0,0
39,chinese,32069,"['soy sauce', 'vinegar', 'bamboo shoots', ' eggs', 'chili sauce', 'shiitake', ' tofu', 'chicken broth', 'onion', 'carrots']",0,0,0,0,0,0
40,filipino,34301,"['soy sauce', 'bay ', 'vinegar', 'pepper', 'onion', 'pork', 'garlic', 'black peppercorns', 'water', 'salt']",0,0,0,0,0,0
41,filipino,45080,"['jalapeno chilies', 'scallions', 'pork', 'vinegar', 'soy sauce', 'bay leaves', 'peppercorns', 'water', 'garlic']",0,0,0,1,0,0
42,filipino,10851,"['pepper', 'egg', 'rice', 'chicken', 'fish sauce', 'ginger', 'garlic', 'calamansi', 'water', 'onion', 'oil', 'garlic', 'bouillon cube', 'salt', 'onions']",0,0,0,0,0,0
43,filipino,20018,"['garlic', 'pork', 'soy sauce', 'lemon', 'brown sugar', 'black pepper', 'ketchup', 'salt']",0,0,0,0,0,0
44,filipino,31122,"['ham', 'garlic', 'cooking oil', 'soy sauce', 'eggs', 'rice']",0,0,0,0,0,0
45,filipino,27147,"['eggs', 'baking ', 'sugar', 'vanilla', 'coconut flakes', '', 'milk', 'flour']",1,0,0,0,0,0
46,filipino,36413,"['quail eggs', 'salt', 'sugar', 'frozen meatballs', 'corn starch', 'water', 'oil', 'soy sauce', 'biscuits']",0,0,0,0,0,0
47,filipino,27032,"['tomato sauce', 'vegetable oil', 'onions', 'chicken', 'potato', 'salt', 'fish sauce', 'bay ', 'bell pepper', 'chicken broth', ' black pepper', 'garlic']",0,0,0,0,0,0
48,filipino,14465,"['eggs', 'baking ', ' flour', 'sugar', 'flour', 'coconut milk', 'coconut oil', ' salt', 'Edam', 'cooking spray', ' banana ']",1,0,0,0,0,0
49,french,38092,"[' egg yolks', 'marsala wine', 'mint sprigs', 'sugar', 'peaches', 'water']",1,0,1,0,1,1
50,french,8325,"['sugar', 'nonfat  milk ', 'brown sugar', 'egg substitute', 'ginger', 'skim milk', 'vanilla extract', 'vegetable oil cooking spray', 'water']",1,0,1,0,0,0
51,french,13246,"['pepper', 'chives', 'olive oil', ' parsley', 'pork', 'rosemary', 'salt']",0,0,0,0,0,0
52,french,37513,"[' tarragon ', 'nonfat yogurt', ' shrimp', 'water', 'mayonnaise', 'shrimp and crab boil soning', 'onion', 'creole mustard', 'olive oil', 'salt']",0,0,0,0,0,0
53,french,3832,"['olive oil', 'onion', ' parsley', 'bread', 'sherry wine', ' thyme', 'salt', 'pepper', 'gruyere cheese', 'beef broth']",1,0,0,0,0,1
54,french,46298,"[' marjoram', 'olive oil', ' black olives', ' flour', ' water', ' thyme', ' olive oil', 'anchovy fillets', 'sugar', 'winter savory', 'onion', 'active  yeast', 'bay ', 'salt', '  pepper']",0,0,0,0,0,0
55,french,26678,"['cheese', ' mushrooms', 'margarine', 'parmesan cheese', 'arugula']",1,0,0,0,0,0
56,french,22521,"['chives', 'tarragon', 'white asparagus', 'salt', 'eggs', 'pistachios', ' butter', ' parsley']",1,0,0,0,0,0
57,french,43432,"['capers', 'worcestershire sauce', 'lemon', 'mustard', 'garlic ', 'bell peppers', 'anchovy paste', 'mayonnaise', 'dill pickles']",0,0,0,1,0,0
58,french,6066,"[' eggs', ' butter', 'cocoa powder', ' flour', 'sugar', 'chocolate']",1,0,1,0,0,0
59,greek,27242,"['tomato', 'broccoli', 'Italian Dressing', 'onion', 'spinach', 'kalamata', 'feta cheese', 'chickpeas']",1,0,0,0,0,0
60,greek,28252,"['chicken broth', 'chicken', 'parsley', 'feta cheese', 'salt', 'black pepper', 'lemon', 'tomato', 'ziti', 'oregano']",0,0,0,0,0,0
61,greek,24486,"['salt', 'yogurt', 'dill', 'garlic', 'olive oil', 'cucumber']",1,0,0,0,0,0
62,greek,10713,"['sugar', 'butter', 'honey', 'walnuts', 'water', 'vanilla extract', 'phyllo dough', 'cinnamon']",1,0,1,0,0,0
63,greek,7158,"[' dill', 'potato', 'feta cheese', 'olive oil', 'garlic ', ' oregano', ' salt', 'onion', 'beans', 'tomato', 'zucchini', ' lemon']",0,0,0,0,0,0
64,greek,39287,"['spinach', 'garlic', 'feta cheese', 'phyllo dough', 'salt', 'butter', 'cheese', 'vinegar', 'pepper', 'mozzarella cheese']",1,0,0,0,0,0
65,greek,34948,"['sun tomato pesto', '', 'sunflower kernels', ' spinach', ' black olives', 'basil', ' parsley', 'soy sauce', 'shallots', ' olive oil', 'steak', ' garlic', 'pasta', 'feta cheese']",1,0,0,0,0,0
66,greek,38386,"['almonds', 'eggplant', 'salt', 'olive oil', 'garlic', 'sugar', ' tomato', 'chili ', 'onions', 'wine', 'mint ', ' parsley']",1,1,0,1,0,1
67,greek,45698,"['lamb stock', ' tomato', 'lamb ', 'onions', 'lemon', 'garlic', 'bay ', 'olive oil', ' wine', 'salt', ' oregano', ' cinnamon', ' green bean', 'passata', ' parsley']",0,0,0,0,0,1
68,greek,30373,"['bread crumbs', 'fennel bulb', ' lamb', 'mayonaise', 'olive oil', 'salt', ' garlic', 'shallots', 'hamburger buns', ' black pepper', ' oregano']",0,0,0,0,0,0
69,indian,43847,"['tomato', 'chili powder', 'cardamom', 'garam masala', 'paneer', 'onions', 'cream', 'butter', 'oil', 'coriander powder', 'salt', 'methi']",1,0,0,1,0,0
70,indian,42764,"['sugar', 'baking powder', 'oil', 'baking soda', 'salt', 'cumin', 'milk', 'butter', 'coriander', 'yogurt', ' flour']",1,0,0,0,0,0
71,indian,31315,"['corn flakes', 'cilantro', 'puffed rice', 'cashew', 'cayenne pepper', 'lime', 'mango chutney', 'onions', 'potato', 'tomato ketchup']",1,1,0,1,0,0
72,indian,39808,"['tomato pure', 'coriander ', 'heavy cream', 'brown cardamom', 'bay ', 'ginger ', 'garlic ', 'salt', 'cumin seed', 'onions', 'clove', 'tumeric', 'chili ', 'cilantro ', 'lemon', 'cashew', ' ', 'garam masala', 'vegetable oil', 'cardamom', 'cinnamon ', 'chicken']",1,1,0,1,0,0
73,indian,30137,"['onion', 'garam masala', 'garlic', 'carrots', ' ', ' tomato', 'potato', 'cumin', ' peas', 'olive oil', ' black pepper', 'salt', ' beef', 'water', 'coriander', 'cinnamon', 'lentils']",0,0,0,1,0,0
74,indian,28185,"['fish fillets', 'rice', 'vegetable stock', 'curry paste', 'vegetable oil', 'garlic ', 'tomato', 'onions']",0,0,0,0,0,0
75,indian,24125,"['red chili', 'lime', 'flour', 'lime', 'chutney', 'tumeric', 'ginger', 'yogurt', 'sea salt', 'baking soda', 'olive oil', 'sweet potato', 'potato', 'coriander', 'chickpea flour', 'red chili flakes', 'black pepper', 'onion', 'mustard']",1,0,0,1,0,0
76,indian,23297,"['beets', 'canola oil', 'plain yogurt', 'black mustard', 'cumin seed', 'salt', ' cilantro fresh']",1,0,0,0,0,0
77,indian,11121,"['water', 'yellow food coloring', 'salt', ' rice', 'garam masala', 'red food coloring', ' cilantro', ' ginger ', 'lemon', 'cayenne pepper', 'chicken', 'plain yogurt', ' ', 'garlic', 'onions']",0,0,0,1,0,0
78,indian,14946,"['brown sugar', 'chili ', 'garlic', 'curry ', 'raisins', 'mustard', 'peaches', 'ginger', 'pickling spices', 'vinegar', ' onion']",1,1,0,1,0,0
79,irish,5103,"['water', 'beef stock', 'lamb', 'onions', 'black pepper', 'bacon', ' flour', 'thyme', 'bay leaves', 'salt', 'sugar', 'wine', 'potato', 'garlic', 'carrots']",0,0,0,1,0,1
80,irish,39668,"[' pepper', ' flour', 'onions', 'lamb', 'carrots', 'new potato', 'beer', 'canola oil', ' thyme', ' salt', ' parsley']",0,0,0,0,0,1
81,irish,1487,"['bread', 'milk', '', 'sugar', 'flour', 'shortcrust pastry', 'brown sugar', ' eggs', 'currant', 'spice', 'baking ']",1,0,1,0,0,0
82,irish,40038,"['olive oil', ' flour', 'bay ', 'chicken broth', 'lamb ', 'thyme', ' water', 'potato', 'carrots', 'onions', 'pepper', 'salt', ' parsley']",0,0,0,0,0,0
83,irish,5483,"['ice ', 'cinnamon', 'irish cream liqueur', ' milk', 'rye whiskey']",1,0,1,0,1,1
84,irish,26248,"['mustard', 'cider', 'brown sugar', 'clove', 'ham']",0,0,0,0,0,1
85,irish,10899,"['smoked bacon', 'butter', 'rutabaga', 'bay leaves', 'pork', 'potato', 'carrots', 'chicken broth', 'cider', 'cabbage']",0,0,0,0,0,1
86,irish,28919,"['espresso ', 'brown sugar', 'sugar', 'whipping cream', ' egg whites', 'coffee beans', 'Irish whiskey']",1,0,1,0,0,1
87,irish,48018,"['thyme', 'vegetable oil', 'bacon', ' onion', 'cabbage', 'chuck roast', 'butter', 'salt', 'carrots', 'black pepper', 'russet potato', 'garlic', 'beer', 'milk', 'bay leaves', 'worcestershire sauce', ' flour', 'parsley']",0,0,0,1,0,1
88,irish,26262,"['water', 'salt', 'onions', 'celery ribs', 'leeks', 'baby carrots', 'parsley', 'onions', 'potato', 'black pepper', 'lamb', 'garlic ']",0,0,0,1,0,0
89,italian,37578,"['milk', ' lemon ', 'unflavored gelatin', 'milk', 'apple juice', 'sugar', 'mint sprigs', ' lemon', 'cooking spray', 'blueberries']",1,0,1,0,0,0
90,italian,23822,"['cognac', 'unsweetened cocoa ', ' ', 'confectioners sugar', 'raisins', 'sweetened condensed milk', 'biscuits', 'blanched almonds']",1,0,0,0,0,1
91,italian,874,"['panko', ' flour', 'chicken', 'milk', 'salt', ' parsley', 'pepperoni ', ' eggs', ' mozzarella cheese', 'tomato sauce', 'parmigiano reggiano cheese', '  pepper', 'canola oil']",0,0,0,0,0,0
92,italian,7276,"[' salt', ' tomato', 'pepper', 'pesto', 'spaghetti']",1,0,0,0,0,0
93,italian,47082,"['romano cheese', 'bell pepper', 'pasta', 'olive oil', 'pancetta', 'pepper', 'salt', 'tomato', 'cheese', 'onions']",0,0,0,0,0,0
94,italian,34577,"['tomato', 'currant', 'lamb', 'saffron', 'chicken broth', 'olive oil', 'salt', 'parsley', 'cauliflower', 'thyme', 'garlic', 'couscous', 'pinenuts', 'black pepper', 'lemon', 'onions']",0,0,0,0,0,0
95,italian,23434,"['olive oil', 'garlic', 'parsley', 'capers', 'shallots', 'roast red peppers, drain', 'eggplant', 'goat cheese', 'orange', 'kalamata', 'olive oil']",1,0,0,0,0,0
96,italian,7208,"['butter', 'rigatoni', 'parmesan cheese', ' flour', 'bread crumb fresh', 'whipping cream', 'milk', 'gorgonzola']",1,0,0,0,0,0
97,italian,17939,"['tomato paste', 'pepper', 'red chili flakes', 'garlic', 'celery', 'italian seasoning', 'pancetta', 'fish sauce', 'grated parmesan cheese', 'heavy cream', 'beef broth', 'onions', 'tomato', 'parmesan cheese', 'wine', 'salt', 'parsley', 'pasta', 'porcini mushrooms', 'balsamic vinegar', 'basil', 'carrots', 'short rib']",0,0,0,1,0,1
98,italian,48897,"['olive oil', 'garlic', ' parmesan cheese', 'chicken', ' black pepper', ' bread crumbs', 'basil  ']",0,0,0,0,0,0
99,jamaican,35137,"['sugar', 'water', 'sorrel', 'ginger', 'pimentos']",1,1,0,1,1,0
100,jamaican,14765,"['pepper', 'sea bass fillets', 'orange juice', 'onion', 'garlic', 'orange', 'jalapeno chilies', 'navel oranges', 'allspice berries', 'vegetable oil', 'salt']",0,0,0,1,0,0
